,test,secondsTotal.flakerake-obo,failureID-flakerake-obo.uniqueCount,secondsTotal.flakerake,failureID-flakerake.uniqueCount,secondsTotal.isolatedRerun,failureID-isolatedRerun.uniqueCount
,com.squareup.okhttp.internal.http.ResponseCacheTest#serverReturnsDocumentOlderThanCache,2714.691470861435,1,2717.9450194835663,1,1112.5739999999807,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#setIfModifiedSince,2248.711058616638,1,2256.2669339179993,1,1052.8029999999992,1
,com.squareup.okhttp.internal.http.URLConnectionTest#authenticateRealmUppercase,2384.2319643497467,1,2384.4277272224426,1,948.1750000000297,1
,com.squareup.okhttp.internal.http.URLConnectionTest#authenticateWithChunkedStreaming,2107.138709306717,1,2098.443327665329,1,926.6090000000312,1
,com.squareup.okhttp.internal.http.URLConnectionTest#canSetNegativeChunkedStreamingMode,333.51306080818176,1,328.5665488243103,1,702.0030000000055,1
,com.squareup.okhttp.internal.http.URLConnectionTest#cannotSetNegativeFixedLengthStreamingMode,334.1382200717926,1,332.07998394966125,1,695.2039999999835,1
,com.squareup.okhttp.internal.http.URLConnectionTest#chunkedUpload_byteByByte,2292.5545897483826,1,2299.170949935913,1,1134.2250000000647,1
,com.squareup.okhttp.internal.http.URLConnectionTest#chunkedUpload_smallBuffers,2294.346397638321,1,2296.7363290786743,1,995.8009999999856,1
,com.squareup.okhttp.internal.http.URLConnectionTest#clientConfiguredCustomContentEncoding,2193.758614063263,1,2191.7228808403015,1,916.4370000000284,1
,com.squareup.okhttp.internal.http.URLConnectionTest#connectRetriesUntilConnectedOrFailed,705.7801535129547,1,706.653796672821,1,801.3319999999786,1
,com.squareup.okhttp.internal.http.URLConnectionTest#connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache,3411.0257563591003,3,2807.7163484096527,3,947.4090000000377,3
,com.squareup.okhttp.internal.http.URLConnectionTest#connectViaProxyUsingProxySystemProperty,2190.975041627884,1,2190.9623284339905,1,925.0370000000249,1
,com.squareup.okhttp.internal.http.URLConnectionTest#connectionCloseInRequest,2929.939377784729,1,2799.003143310547,1,924.708000000037,1
,com.squareup.okhttp.internal.http.URLConnectionTest#contentDisagreesWithChunkedHeader,2145.1744706630707,1,2145.2451643943787,1,916.2150000000423,1
,com.squareup.okhttp.internal.http.URLConnectionTest#digestAuthentication,1882.8110237121582,1,1882.704776763916,1,905.8910000000878,1
,com.squareup.okhttp.internal.http.URLConnectionTest#disconnectedConnection,2142.1067929267883,1,2130.497818470001,1,903.5320000000689,1
,com.squareup.okhttp.internal.http.URLConnectionTest#earlyDisconnectDoesntHarmPoolingWithFixedLengthEncoding,2635.8059175014496,1,2636.0954525470734,1,936.6240000000296,1
,com.squareup.okhttp.internal.http.URLConnectionTest#emptyResponseHeaderNameIsLenient,1886.6824157238007,1,1882.8316614627838,1,911.3950000000285,1
,com.squareup.okhttp.internal.http.URLConnectionTest#fixedLengthUpload_largeBuffers,2279.961955308914,1,2283.3279831409454,1,953.5060000000378,1
,com.squareup.okhttp.internal.http.URLConnectionTest#fixedLengthUpload_smallBuffers,2236.5288240909576,1,2237.1688899993896,1,1219.625999999977,1
,com.squareup.okhttp.internal.http.URLConnectionTest#fullyBufferedPostIsTooLong,971.3697988986969,1,973.1560142040253,1,884.2650000000145,1
,com.squareup.okhttp.internal.http.URLConnectionTest#fullyBufferedPostIsTooShort,973.1816306114197,1,981.7559771537781,1,871.5600000000102,1
,com.squareup.okhttp.internal.http.URLConnectionTest#getContent,2134.2134160995483,1,2130.1117079257965,1,910.8360000000497,1
,com.squareup.okhttp.internal.http.URLConnectionTest#getContentLengthConnects,1885.4276974201202,1,1886.1889839172363,1,903.8010000000393,1
,com.squareup.okhttp.internal.http.URLConnectionTest#getOutputStreamOnGetFails,771.9352781772614,1,768.5421049594879,1,847.8039999999338,1
,com.squareup.okhttp.internal.http.URLConnectionTest#getRequestPropertyReturnsLastValue,328.59315633773804,1,334.05925393104553,1,697.1260000000225,1
,com.squareup.okhttp.internal.http.URLConnectionTest#gzipWithRedirectAndConnectionReuse,4834.661342859268,2,7146.841949939728,2,930.3320000000145,2
,com.squareup.okhttp.internal.http.URLConnectionTest#inputStreamAvailableWithContentLengthHeader,2134.304979324341,1,2131.8761456012726,1,916.3380000000499,1
,com.squareup.okhttp.internal.http.URLConnectionTest#inputStreamAvailableWithNoLengthHeaders,2179.5293028354645,2,2174.977799654007,2,914.3380000000282,2
,com.squareup.okhttp.internal.http.URLConnectionTest#nonHexChunkSize,1981.760359287262,1,1990.1199691295624,1,910.0440000000664,1
,com.squareup.okhttp.internal.http.URLConnectionTest#postFailsWithBufferedRequestForSmallRequest,3088.8604595661163,1,2946.59862780571,1,951.6750000000299,1
,com.squareup.okhttp.internal.http.URLConnectionTest#postFailsWithChunkedRequestForLargeRequest,24.05581259727478,6,22.73940634727478,6,1084.4139999999961,6
,com.squareup.okhttp.internal.http.URLConnectionTest#postFailsWithChunkedRequestForSmallRequest,23.29521369934082,2,33.85145902633667,2,962.7920000000136,2
,com.squareup.okhttp.internal.http.URLConnectionTest#postFailsWithFixedLengthRequestForLargeRequest,3462.7496881484985,3,24.412614822387695,3,1088.7449999999988,3
,com.squareup.okhttp.internal.http.URLConnectionTest#postFailsWithFixedLengthRequestForSmallRequest,33.16614270210266,3,23.97243595123291,3,984.2840000000183,3
,com.squareup.okhttp.internal.http.URLConnectionTest#readAfterLastByte,2009.6200516223907,2,2010.105674982071,2,916.7860000000468,2
,com.squareup.okhttp.internal.http.URLConnectionTest#redirectToAnotherOriginServer,6482.196301937103,3,11004.578035831451,3,965.674000000032,3
,com.squareup.okhttp.internal.http.URLConnectionTest#redirectedWithChunkedEncoding,4736.767692565918,2,8366.42220902443,2,934.6960000000203,2
,com.squareup.okhttp.internal.http.URLConnectionTest#redirectedWithNoLengthHeaders,2702.6673221588135,1,3000.702145576477,1,927.7000000000238,1
,com.squareup.okhttp.internal.http.URLConnectionTest#requestBodySurvivesRetriesWithBufferedBody,2508.827766418457,1,2508.8608989715576,1,929.0710000000224,1
,com.squareup.okhttp.internal.http.URLConnectionTest#requestBodySurvivesRetriesWithChunkedStreaming,2669.0990686416626,1,2669.14457321167,1,923.9910000000287,1
,com.squareup.okhttp.internal.http.URLConnectionTest#requestBodySurvivesRetriesWithFixedLength,2538.1853833198547,2,2536.072529554367,2,926.3939999999944,2
,com.squareup.okhttp.internal.http.URLConnectionTest#response300MultipleChoiceWithPost,2551.348958015442,1,2549.6165311336517,1,936.3230000000223,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response302MovedTemporarilyWithPost,2561.0045971870422,1,2557.5162405967712,1,943.5640000000355,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response303SeeOtherWithPost,2559.900286436081,1,2555.159099340439,1,935.3250000000231,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response305UseProxy,2282.3670432567596,1,2282.756448984146,1,906.2780000000537,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response307WithHead,2513.426750421524,1,2512.67502617836,1,925.8420000000351,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response307WithOptions,2283.984607696533,1,2280.735015153885,1,905.550000000073,1
,com.squareup.okhttp.internal.http.URLConnectionTest#response307WithPost,2372.6340651512146,1,2363.537791490555,1,908.5700000000429,1
,com.squareup.okhttp.internal.http.URLConnectionTest#responseCacheReturnsNullOutputStream,2194.0827820301056,1,2202.208937883377,1,919.404000000029,1
,com.squareup.okhttp.internal.http.URLConnectionTest#responseHeaders,1882.8587374687195,1,1885.4856050014496,1,922.0220000000206,1
,com.squareup.okhttp.internal.http.URLConnectionTest#serverSendsInvalidCodeTooLarge,1889.9085042476654,1,1884.103402376175,1,877.9300000000186,1
,com.squareup.okhttp.internal.http.URLConnectionTest#serverShutdownInput,2074.4868581295013,5,2107.514897584915,5,938.6050000000141,5
,com.squareup.okhttp.internal.http.URLConnectionTest#serverShutdownOutput,2139.2049629688263,6,2191.5954167842865,6,1002.2189999999941,6
,com.squareup.okhttp.internal.http.URLConnectionTest#setInvalidRequestMethodConnect,328.78057289123535,1,328.8779151439667,1,701.4470000000113,1
,com.squareup.okhttp.internal.http.URLConnectionTest#setInvalidRequestMethodLowercase,328.4107551574707,1,332.6378631591797,1,699.7890000000324,1
,com.squareup.okhttp.internal.http.URLConnectionTest#setProtocols,2132.161436319351,1,2132.036127090454,1,906.0470000000679,1
,com.squareup.okhttp.internal.http.URLConnectionTest#setProtocolsWithoutHttp11,41.84668946266174,1,25.509175777435303,1,20.599999999999852,1
,com.squareup.okhttp.internal.http.URLConnectionTest#singleByteReadIsSigned,2133.956194639206,1,2132.6504139900208,1,905.6110000000541,1
,com.squareup.okhttp.internal.http.URLConnectionTest#unauthorizedResponseHandling,1987.538012266159,1,1988.26975107193,1,910.3390000000493,1
,com.squareup.okhttp.internal.http.URLConnectionTest#veryLargeFixedLengthRequest,7074.631577730179,1,6989.449985027313,1,20759.972999999965,1
,com.squareup.okhttp.internal.http.URLConnectionTest#zeroLengthPost,2136.094377756119,3,2130.055274963379,3,911.8790000000688,3
,com.squareup.okhttp.internal.http.URLConnectionTest#zeroLengthPut,2132.4143359661102,3,2133.4166219234467,3,924.4060000000499,3
