sleepyline.cause,method,failureID.Uniq.Count,test
java/nio/channels/SocketChannel.open()Ljava/nio/channels/SocketChannel;,OBO,36,36
java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,BIS,52,52
java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,OBO,106,106
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,BIS,122,122
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,OBO,150,150
java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,BIS,115,115
java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,OBO,132,132
java/nio/channels/SocketChannel.write([Ljava/nio/ByteBuffer;II)J,OBO,1,1
java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,BIS,83,83
java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,OBO,63,63
java/util/concurrent/BlockingQueue.add(Ljava/lang/Object;)Z,BIS,30,30
java/util/concurrent/BlockingQueue.add(Ljava/lang/Object;)Z,OBO,48,48
java/util/concurrent/BlockingQueue.drainTo(Ljava/util/Collection;)I,OBO,1,1
java/util/concurrent/BlockingQueue.offer(Ljava/lang/Object;)Z,OBO,5,5
java/util/concurrent/BlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,BIS,37,37
java/util/concurrent/BlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,OBO,12,12
java/util/concurrent/BlockingQueue.put(Ljava/lang/Object;)V,BIS,28,28
java/util/concurrent/BlockingQueue.put(Ljava/lang/Object;)V,OBO,30,30
java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,BIS,61,61
java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,OBO,48,48
java/util/concurrent/Callable.call()Ljava/lang/Object;,BIS,21,21
java/util/concurrent/Callable.call()Ljava/lang/Object;,OBO,20,20
java/util/concurrent/CompletableFuture.allOf([Ljava/util/concurrent/CompletableFuture;)Ljava/util/concurrent/CompletableFuture;,BIS,2,2
java/util/concurrent/CompletableFuture.allOf([Ljava/util/concurrent/CompletableFuture;)Ljava/util/concurrent/CompletableFuture;,OBO,9,9
java/util/concurrent/CompletableFuture.complete(Ljava/lang/Object;)Z,BIS,14,14
java/util/concurrent/CompletableFuture.complete(Ljava/lang/Object;)Z,OBO,19,19
java/util/concurrent/CompletableFuture.completedFuture(Ljava/lang/Object;)Ljava/util/concurrent/CompletableFuture;,BIS,9,9
java/util/concurrent/CompletableFuture.completedFuture(Ljava/lang/Object;)Ljava/util/concurrent/CompletableFuture;,OBO,8,8
java/util/concurrent/CompletableFuture.get()Ljava/lang/Object;,BIS,8,8
java/util/concurrent/CompletableFuture.get()Ljava/lang/Object;,OBO,7,7
java/util/concurrent/CompletableFuture.isDone()Z,BIS,8,8
java/util/concurrent/CompletableFuture.isDone()Z,OBO,7,7
java/util/concurrent/CompletableFuture.join()Ljava/lang/Object;,BIS,16,16
java/util/concurrent/CompletableFuture.join()Ljava/lang/Object;,OBO,17,17
java/util/concurrent/CompletableFuture.runAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,BIS,16,16
java/util/concurrent/CompletableFuture.runAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,OBO,20,20
java/util/concurrent/CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,BIS,4,4
java/util/concurrent/CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,OBO,3,3
java/util/concurrent/CompletableFuture.thenApply(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,BIS,3,3
java/util/concurrent/CompletableFuture.thenApply(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,OBO,9,9
java/util/concurrent/CompletableFuture.thenCompose(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,BIS,4,4
java/util/concurrent/CompletableFuture.thenCompose(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,OBO,7,7
java/util/concurrent/CompletableFuture.thenRun(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;,BIS,2,2
java/util/concurrent/CompletableFuture.thenRun(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;,OBO,5,5
java/util/concurrent/CompletableFuture.whenComplete(Ljava/util/function/BiConsumer;)Ljava/util/concurrent/CompletableFuture;,BIS,10,10
java/util/concurrent/CompletableFuture.whenComplete(Ljava/util/function/BiConsumer;)Ljava/util/concurrent/CompletableFuture;,OBO,11,11
java/util/concurrent/CompletionService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,BIS,1,1
java/util/concurrent/CompletionService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,OBO,1,1
java/util/concurrent/CompletionService.take()Ljava/util/concurrent/Future;,BIS,1,1
java/util/concurrent/CompletionService.take()Ljava/util/concurrent/Future;,OBO,1,1
java/util/concurrent/ConcurrentHashMap.clear()V,OBO,2,2
java/util/concurrent/ConcurrentHashMap.containsKey(Ljava/lang/Object;)Z,BIS,55,55
java/util/concurrent/ConcurrentHashMap.containsKey(Ljava/lang/Object;)Z,OBO,38,38
java/util/concurrent/ConcurrentHashMap.entrySet()Ljava/util/Set;,OBO,2,2
java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;,BIS,76,76
java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;,OBO,72,72
java/util/concurrent/ConcurrentHashMap.keySet()Ljava/util/concurrent/ConcurrentHashMap$KeySetView;,OBO,3,3
java/util/concurrent/ConcurrentHashMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,BIS,78,78
java/util/concurrent/ConcurrentHashMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,OBO,63,63
java/util/concurrent/ConcurrentHashMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,BIS,3,3
java/util/concurrent/ConcurrentHashMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,OBO,4,4
java/util/concurrent/ConcurrentHashMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,BIS,40,40
java/util/concurrent/ConcurrentHashMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,OBO,56,56
java/util/concurrent/ConcurrentHashMap.size()I,BIS,27,27
java/util/concurrent/ConcurrentHashMap.size()I,OBO,26,26
java/util/concurrent/ConcurrentHashMap.values()Ljava/util/Collection;,BIS,26,26
