method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,java/nio/channels/ServerSocketChannel.bind(Ljava/net/SocketAddress;I)Ljava/nio/channels/ServerSocketChannel;,14,0.0009545888449474976
BIS,14666,java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,3,0.0002045547524887495
BIS,14666,java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,75,0.005113868812218737
BIS,14666,java/nio/channels/ServerSocketChannel.validOps()I,3,0.0002045547524887495
BIS,14666,java/nio/channels/SocketChannel.connect(Ljava/net/SocketAddress;)Z,53,0.003613800627301241
BIS,14666,java/nio/channels/SocketChannel.finishConnect()Z,73,0.004977498977226238
BIS,14666,java/nio/channels/SocketChannel.isConnected()Z,139,0.009477703531978725
BIS,14666,java/nio/channels/SocketChannel.open()Ljava/nio/channels/SocketChannel;,40,0.002727396699849993
BIS,14666,java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,99,0.006750306832128733
BIS,14666,java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,294,0.02004636574389745
BIS,14666,java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,201,0.013705168416746216
BIS,14666,java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,171,0.011659620891858721
BIS,14666,java/util/concurrent/BlockingQueue.add(Ljava/lang/Object;)Z,64,0.004363834719759989
BIS,14666,java/util/concurrent/BlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,119,0.00811400518205373
BIS,14666,java/util/concurrent/BlockingQueue.put(Ljava/lang/Object;)V,42,0.002863766534842493
BIS,14666,java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,131,0.008932224192008727
BIS,14666,java/util/concurrent/Callable.call()Ljava/lang/Object;,111,0.007568525842083731
BIS,14666,java/util/concurrent/CompletableFuture.allOf([Ljava/util/concurrent/CompletableFuture;)Ljava/util/concurrent/CompletableFuture;,3,0.0002045547524887495
